nome,indirizzo,citta,provincia,nazione,lat,lng
Cantina Valsinello Pollutri,"A14, 66020 Vasto CH, Italia",Vasto,CH,Italia,42.1543799,14.6386992
Cantina Villafranca Cecchina di Albano Laziale,"Via dei Gigli, 00041 Albano laziale RM, Italia",Albano laziale,RM,Italia,41.7014108,12.6289908
CANTINA VINI TIPICI ARETINO,"SP21, 52100 Arezzo AR, Italia",Arezzo,AR,Italia,43.467779,11.8180532
Cantine Bonacchi Quarrata,"Via Colli Mozzi, 51039 Quarrata PT, Italia",Quarrata,PT,Italia,43.8571522,10.948184
Cantine Brusa Toscanella di Dozza,"Italia, 40060 Dozza BO, Via Emilia",Dozza,BO,,44.376167,11.6587618
Cantine Pirovano,"Via dei Pini, 8, 23885 Arlate LC, Italia",Arlate,LC,Italia,45.7286968,9.4376298
Cantine Riunite - Campegine,"Via J.F.Kennedy, 3, 42040 Caprara RE, Italia",Caprara,RE,Italia,44.7743148,10.5122231
Cantine Sgarzi Luigi Castel San Pietro,"Via Bernarda, 1650, 40024 Castel San Pietro Terme BO, Italia",Castel San Pietro Terme,BO,Italia,44.402884187085,11.624963111049
Capetta Mario SPA Borgonovo,"Via Santa Maria del Piano, 15, 12052 Borgonovo CN, Italia",Borgonovo,CN,Italia,44.719078980049,8.1194484949173
CAPRA HALEN,"Stadsbeemd 1021, 3545 Halen, Belgio",Halen,,Belgio,50.9495249,5.1017975
Carapelli Inveruno,"Corso Italia, 20010 Inveruno MI, Italia",Inveruno,MI,Italia,45.5093148,8.8614295
Cargill Barby,"Monplaisirstraße 22, 39249 Barby (Elbe), Germania",Barby (Elbe),,Germania,51.9857672,11.8781861
Cargill Bergen op Zoom,"Paesi Bassi, 4612 Bergen op Zoom, Lelyweg 31",Bergen op Zoom,,,51.5066691,4.2602679
CARGILL BERLIN,"Flottenstraße 24G, 13407 Berlin, Germania",Berlin,,Germania,52.5798921,13.355462
Cargill Botlek Rotterdam,"welplaatweg,34 3197 ks rotterdam",welplaatweg,,,51.8811855,4.2832584
Cargill Castelmassa,"Italia, 45035 Castelmassa RO, Via Cerestar",Castelmassa,RO,,45.0240006,11.3176454
Cargill Cherasco (CN),"Strada Provinciale 58, 12, 12062 Cherasco CN, Italia",Cherasco,CN,Italia,44.6522301,7.869116
Cargill Chocolate Belgium Mouscron,"Drève Gustave Fache 13, 7700 Mouscron, Belgio",Mouscron,,Belgio,50.7435306,3.2520652
Cargill Cocoa Hamburg,"Efftingestraße 40, 22041 Amburgo, Germania",Amburgo,,Germania,53.573704,10.0841721
CARGILL FRANCE ROUEN LE GRAND QUEVILLY,"1 Avenue Paul Delorme, 76120 Le Grand-Quevilly, Francia",Le Grand-Quevilly,,Francia,49.4035526,1.0303998
Cargill Frankfurt,"Hoechster-Farben-Straße 5, 65931 Frankfurt am Main, Germania",Frankfurt am Main,,Germania,50.0917373,8.521035
Cargill Hamburg,"Seehafenstraße 2-6, 21079 Amburgo, Germania",Amburgo,,Germania,53.4676507,9.9754319
Cargill Izegem,"Zuidkaai 56, 8870 Izegem, Belgio",Izegem,,Belgio,50.9237822,3.2093431
CARGILL KREFELD,"Düsseldorfer Str. 193, 47809 Krefeld, Germania",Krefeld,,Germania,51.338978668856,6.6633409234971
Cargill Lechitin Hamburg,"Ausschläger Elbdeich 64, 20539 Hamburg, Germania",Hamburg,,Germania,53.5300551,10.0478265
Cargill Mainz,"Rheinallee 124, 55120 Magonza, Germania",Magonza,,Germania,50.0274006,8.2272325
Cargill Reus,"Carrer d'Adrià Gual, 2B, 43206 Reus, Tarragona, Spagna",Reus,Tarragona,Spagna,41.1607353,1.0790291
Cargill Salzgitter,"Rüdekenstraße 51, 38239 Salzgitter, Germania",Salzgitter,,Germania,52.1932043,10.428385
Cargill Santa Maria a Mugnano (Modena),"Strada Statale 724dir, 41126 Modena MO, Italia",Modena,MO,Italia,44.6050831,10.912199
CARGILL SAS VAN GENT,"Nijverheidsstraat 1, 4551 LA Sas van Gent, Paesi Bassi",Sas van Gent,,Paesi Bassi,51.2379468,3.8038415
Cargill Wormer,"Eenhoornweg 7, 1531 Wormer, Paesi Bassi",Wormer,,Paesi Bassi,52.4972922,4.7984705
"CARLETTI Skodstrup, Danimarca","Grenåvej 641, 8541 Skødstrup, Danimarca",Skødstrup,,Danimarca,56.2584955,10.3017687
Cas Castagnaro,"Via Borgonovo, 78-82, 37043 Castagnaro VR, Italia",Castagnaro,VR,Italia,45.1270456,11.3958999
casa di LEO,"Via S. G. Bosco, 29, 30030 Pianiga VE, Italia",Pianiga,VE,Italia,45.4577407,12.0401763
CASA VINICOLA CICCARIELLO VELLETRI,"Via Pratolungo, 118, 00049 Velletri RM, Italia",Velletri,RM,Italia,41.6402936,12.8007821
Casa vinicola Zonin Gambellara,"Via Borgolecco, 19, 36053 Gambellara VI, Italia",Gambellara,VI,Italia,45.461197166969,11.336636653825
Casale Vallechiesa Frascati,"Diramazione Roma Sud, Monte Porzio Catone RM, Italia",Monte Porzio Catone RM,,Italia,41.8274442,12.686329
Casalini Orzinuovi,"Via Don Emilio Baggio, 25034 Orzinuovi BS, Italia",Orzinuovi,BS,Italia,45.4057161,9.9467955
CASCINA ITALIA S.P.A. SPIRANO,"Via Campo Romano, 10, 24050 Spirano BG, Italia",Spirano,BG,Italia,45.5949437,9.6637345
Caseificio Albiero srl Montorso,"Via Motti, 19, 36050 Montorso vicentino VI, Italia",Montorso vicentino,VI,Italia,45.493523655292,11.341314859423
Caseificio Busti spa Acciaolo,"Via G. Marconi, 13/a/b, 56043 Acciaiolo PI, Italia",Acciaiolo,PI,Italia,43.551085166806,10.508911725838
Caseificio dell'Alta Langa Bosia,"Via Provinciale, 17, 12050 Bosia CN, Italia",Bosia,CN,Italia,44.5896492,8.1436601
Caseificio Latini Grumello del Monte,"Via Brescia, 51, 24064 Grumello del Monte BG, Italia",Grumello del Monte,BG,Italia,45.6220148,9.8810384
Castelli del Grevepesa - Azienda vinicola nel Chianti Classico,"Via Gabbiano, 34, 50026 San Casciano in Val di pesa FI, Italia",San Casciano in Val di pesa,FI,Italia,43.6302372,11.2731442
Catalent Aprilia,"Via Monti Ernici, 19, 04011 Aprilia LT, Italia",Aprilia,LT,Italia,41.604512,12.6486505
Cavanna Olii Casella,"Via Circonvallazione, 5, 16015 Casella GE, Italia",Casella,GE,Italia,44.5366294,8.9926386
CAVIM Soc. Coop. Agricola SASSO MORELLI IMOLA,"Via Correcchio, 54, 40026 Sasso Morelli BO, Italia",Sasso Morelli,BO,Italia,44.4143828,11.7337558
CECCHI CASTELLINA IN CHIANTI,"SP51, 53011 Castellina in Chianti SI, Italia",Castellina in Chianti,SI,Italia,43.417541,11.2192045
Celeste Dono Terruzzi Mariano Comense,"Via Giosuè Carducci, 11, 22066 Mariano Comense CO, Italia",Mariano Comense,CO,Italia,45.6994743,9.172602
CEMOI CONFISEUR S.A. TROYES,"1 Avenue des Tirverts, 10150 Pont-Sainte-Marie, Francia",Pont-Sainte-Marie,,Francia,48.3134083,4.0834943
CENTRE OUEST CEREALES S.A.,"La Gare, 86190 Chalandray, Francia",Chalandray,,Francia,46.6647899,-0.007401
CEREAL DOCKS CAMISANO,"Via Ca' Marzare, 2, 36043 Camisano Vicentino VI, Italia",Camisano Vicentino,VI,Italia,45.5105636,11.7054572
CEREAL DOCKS MARGHERA,"Via Banchina dei Molini, 19, 30175 Venezia VE, Italia",Venezia,VE,Italia,45.4680351,12.2326003
CEREAL DOCKS SAN PIETRO DI MORUBIO,"Via Orti, 1, 37050 San Pietro di Morubio VR, Italia",San Pietro di Morubio,VR,Italia,45.2438232,11.1945177
CEREAL PARTNERS FRA (ITANCOURT),"D576, 02240 Urvillers, Francia",Urvillers,,Francia,49.8033108,3.3311268
CEVICO LUGO (RA),"Strada Provinciale 26, 85, 48022 Lugo RA, Italia",Lugo,RA,Italia,44.4383935,11.8908706
CEWO WORTMANN Gmbh & CO KG,"A2, 59069 Hamm, Germania",Hamm,,Germania,51.6383366,7.8940676
CHEMIA S.P.A.,"Strada Statale, 327, 44047 Area Industriale Dosso FE, Italia",Area Industriale Dosso,FE,Italia,44.779684,11.3577038
CHEMIA S.P.A. DOSSO,"Strada Statale, 327, 44047 Area Industriale Dosso FE, Italia",Area Industriale Dosso,FE,Italia,44.779684,11.3577038
Chocolarium Maestrani Flawil,"Toggenburgerstrasse 41, 9230 Flawil, Svizzera",Flawil,,Svizzera,47.4133236,9.165123
CHOCOLATE & TRUFA S.L.,"Calle Alcalde Juan Vallejo, 66C, 23660 Alcaudete, Jaén, Spagna",Alcaudete,Jaén,Spagna,37.5823796,-4.0795678
CHOCOVIC GURB,"N-152, 08503 Gurb, Spagna",Gurb,,Spagna,41.9608491,2.2508708
CITRUCO GENT,"Geeraard van Den Daelelaan 990, 9000 Gent, Belgio",Gent,,Belgio,51.0949725,3.7535505
CITRUS JUICES(NAVA DOMENICO),"Str. Santa Domenica, 15, 89135 Reggio di Calabria RC, Italia",Reggio di Calabria,RC,Italia,38.1770938,15.6777508
Cleys Ozzero,"Via Luigi Galvani, 4, 20080 Ozzero MI, Italia",Ozzero,MI,Italia,45.3585755,8.9133607
CO.DA.P. Marcianise,"SP60, 81025 Marcianise CE, Italia",Marcianise,CE,Italia,41.0048661,14.3088046
COIM Offanengo,"Italia, 26010 Offanengo CR, Via Ricengo, 28",Offanengo CR,Via Ricengo,,45.387483,9.7387765
Colgate Palmolive Anzio,"Via V Miglia, 84, 00042 Anzio RM, Italia",Anzio,RM,Italia,41.5134926,12.6279795
COLLI FIORENTINI MONTESPERTOLI,"Via Granocchiaia, 34, 50025 Montespertoli FI, Italia",Montespertoli,FI,Italia,43.6250933,11.1215263
COMERCIAL DE PRODUCTOS S.A. PATERNA,"Carretera València-Ademuz-Peixad, 17, 46980 Paterna, Valencia, Spagna",Paterna,Valencia,Spagna,39.5410716,-0.4608425
Compagnia lattiero casearia Roccafranca,"Via Roccafranca, 16b, 25030 Roccafranca BS, Italia",Roccafranca,BS,Italia,45.4511438,9.9305043
Conditorei Coppenrath & Wiese Mettingen,"Hansastraße 10, 49497 Mettingen, Germania",Mettingen,,Germania,52.313622141677,7.7991065042053
Configirona SA,"GI-532, 10, 17164 Bonmatí, Girona, Spagna",Bonmatí,Girona,Spagna,41.9711932,2.6698943
CONO Kaasmakers Rijperweg 20 1464 MB WESTBEEMSTER,"Rijperweg 23, 1464 MB Westbeemster, Paesi Bassi",Westbeemster,,Paesi Bassi,52.5560978,4.8754328
Conserve Italia Ravarino,"Via S. Rocco, 598, 41017 Ravarino MO, Italia",Ravarino,MO,Italia,44.7200526,11.0956018
Continental juice BV,"IJselstraat 15-25, 3029 BM Rotterdam, Paesi Bassi",Rotterdam,,Paesi Bassi,51.9058851,4.4401533
CONXENTRA SRL VIA MANDRAGO 1 CANEDOLE DI ROVERBELLA,"Strada Mandrago, 1, 46048 Roverbella MN, Italia",Roverbella,MN,Italia,45.2374728,10.8532115
Coop La Guardiense - Guardia Sanframondi,"SS87, 75, 82034 Tre Pietre BN, Italia",Tre Pietre,BN,Italia,41.2502289,14.5747716
Coop Lattiero -Casearia Konskie,"Zielona 11, 26-200 Końskie, Polonia",26-200 Końskie,,Polonia,51.2008472,20.4192845
COOP. NTRA. SRA. DE GUADALUPE BAENA,"A-305, 14850 Baena, Spagna",Baena,,Spagna,37.6284754,-4.2822562
Cooperativa Alta Alcarria Valdeolivas,"CM-2023, 16813 Valdeolivas, Cuenca, Spagna",Valdeolivas,Cuenca,Spagna,40.5055175,-2.4505081
Cooperativa Olivera Y Caja Rural San Isidro,"Calle Nicasio Perea, 2, 13740 Torrenueva, Cdad. Real, Spagna",Torrenueva,Cdad. Real,Spagna,38.6438215,-3.3648036
COPRA CALISESE DI CESENA,"Via Cavecchia, 75, 47521 Cesena FC, Italia",Cesena,FC,Italia,44.110067423971,12.312724200065
CORMAN D.S. GOE,"Nantistay, 4834 Limbourg, Belgio",Limbourg,,Belgio,50.6030193,5.9701728
Corporació Alimentària Guissona Lerida,"Av. Verge del Claustre, 73, 25210 Guissona, Lleida, Spagna",Guissona,Lleida,Spagna,41.7888494,1.2867854
Costanza Ovada,"SP155, 53, 15076 Castelletto D'orba AL, Italia",Castelletto D'orba,AL,Italia,44.6562258,8.6573127
CREA Cervasca,"Via Cuneo, 114, 12010 Cervasca CN, Italia",Cervasca,CN,Italia,44.3873678,7.4976727
CREAMY BV Rijkevoort,"Hoogeindsestraat 33, 5447 PE Rijkevoort, Paesi Bassi",Rijkevoort,,Paesi Bassi,51.663252,5.915133
CREMER OLEO WITTEN,"Arthur-Imhausen-Straße 41, 58453 Witten, Germania",Witten,,Germania,51.4411381,7.355223
Crespel & Deiters Gmb D-49479 IBBENBUEREN H & Co,"Groner Allee 83, 49479 Ibbenbüren, Germania",Ibbenbüren,,Germania,52.26368,7.7046692
Crown of Holland - Middenmeer,"Agriport 161, 1775 TA Middenmeer, Paesi Bassi",Middenmeer,,Paesi Bassi,52.7571465,5.0387281
CSM,"Via Miglioli, 26841 Casalpusterlengo LO, Italia",Casalpusterlengo,LO,Italia,45.192468,9.6509676
CSM Italia Crema,"Italia, 26013 Crema CR, Viale Santa Maria della Croce",Crema,CR,,45.3677622,9.6976706
D.R.T LESPERON,"150 Chemin du Bouscat, 40260 Lesperon, Francia",Lesperon,,Francia,43.9916691,-1.0361916
Dako AG Am Klingenbach 2 D-97353 Wiesentheid,"Am Klingenbach 7, 97353 Wiesentheid, Germania",Wiesentheid,,Germania,49.7836658,10.3377308
Dalla Bona Carpenedolo,"Via G. Battista Meli, 102, 25013 Cornali BS, Italia",Cornali,BS,Italia,45.3493619,10.4338968
DALS KONFEKTYR AB Bengtsfors,"Strömgatan 10, 666 31 Bengtsfors, Svezia",31 Bengtsfors,,Svezia,59.024167,12.2417333
Dan Cake Polonia CHRZANOW,"Ireny Sendlerowej, 32-500 Chrzanów, Polonia",32-500 Chrzanów,,Polonia,50.127737956329,19.426320775583
Danone Bailleul,"278 Rue Philippe Van Tieghem, 59270 Bailleul, Francia",Bailleul,,Francia,50.72746253163,2.73042030531
Danone France Saint Just Chaleyssin,"60 Rte de Luzinay, 38540 Saint-Just-Chaleyssin, Francia",Saint-Just-Chaleyssin,,Francia,45.582942,4.994864
Danone France Ferrieres en Bray,"8 Route de Savignies, 76220 Ferrières-en-Bray, Francia",Ferrières-en-Bray,,Francia,49.4787366,1.7465258
DANONE N.V. - ROTSELAAR,"Spoorwegstraat 6, 3110 Rotselaar, Belgio",Rotselaar,,Belgio,50.942519208803,4.7266398519585
DANONE ROSENHEIM,"Schönfeldstraße 13-11, 83022 Rosenheim, Germania",Rosenheim,,Germania,47.856451,12.1349766
DAUDRY DUNKERQUE,"4530 Rue G Vancauwenbergue, 59640 Dunkerque, Francia",Dunkerque,,Francia,51.0023536,2.3239016
De Paoli Bolzano Vicentino,"Via Trieste, 4c, 36050 Bolzano Vicentino VI, Italia",Bolzano Vicentino,VI,Italia,45.5925711,11.637152
DE WAU GE GESUNDKOSTWERK,"Weinbergstraße, 39590 Tangermünde, Germania",Tangermünde,,Germania,52.5645833,11.9767337
DE-VAU-GE GESUNDKOSTWERK GMBH,"Weinbergstraße, 39590 Tangermünde, Germania",Tangermünde,,Germania,52.5646187,11.9766625
DEL CONTE CITTADELLA,"Via dell'Olmo, 25, 35013 Cittadella PD, Italia",Cittadella,PD,Italia,45.647402,11.8064053
Delicelait Moyon,"Zone d'Activité la Busnouvière, 50860 Moyon, Francia",Moyon,,Francia,49.0023734,-1.1108617
Delicia Tilburg,"Zevenheuvelenweg 53, 5048 AN Tilburg, Paesi Bassi",Tilburg,,Paesi Bassi,51.5880677,5.046891
DENKAVIT VOORTHUIZEN,"Tolnegenweg 63, 3781 PV Voorthuizen, Paesi Bassi",Voorthuizen,,Paesi Bassi,52.195509,5.6732243
Denkavit France Montreuil Bellay,"Rue du Canal, 49260 Montreuil-Bellay, Francia",Montreuil-Bellay,,Francia,47.1066742,-0.1025292
Denkavit Rovato,"Via 25 Aprile, 2, 25038 Rovato BS, Italia",Rovato,BS,Italia,45.560071864443,10.025313619077
DENTAL-Kosmetik GmbH Dresden,"Katharinenstraße 4, 01099 Dresden, Germania",Dresden,,Germania,51.0659458,13.7486993
DHW Rodleben Dessau Rosslau,"Brambacher Weg 1, 06861 Dessau-Roßlau, Germania",Dessau-Roßlau,,Germania,51.8818304,12.2120274
Di Cosimo Anagni,"<span onmouseover=""this.innerHTML = &quot;Com. le Osteria della Fontana Villa Magna Gorga, 62, 03012 Zona Industriale Paduni-selciatella FR, Italia&quot;;"" onmouseout=""this.innerHTML=&quot;Com. le Osteria della Fontana Villa Magna Gorga, 62, 03012 Z...&qu",62,,,41.7155547,13.132025
DI GIOIA SRL VIA RUTIGLIANO,"Via Rutigliano, 50, 70010 Cellamare BA, Italia",Cellamare,BA,Italia,41.019472,16.9308568
Diana Ei-Produkte Bonn,"Dorotheenstraße 245, 53119 Bonn, Germania",Bonn,,Germania,50.742751080975,7.079052019683
DLG Food oil Dronninglund,"Kvisselholtvej 90, 9330 Dronninglund, Danimarca",Dronninglund,,Danimarca,57.209147788882,10.373968084935
DMK EIS Everswinkel,"Münsterstraße 31A, 48351 Everswinkel, Germania",Everswinkel,,Germania,51.926772945517,7.834576591419
DMK Zeven,"Industriestraße 28, 27404 Zeven, Germania",Zeven,,Germania,53.2786103,9.3083976
DOBLA BELGIUM,"Lindekensbaan 91a, 2560 Nijlen, Belgio",Nijlen,,Belgio,51.1558528,4.6266882
Dohler Darmstadt,"Riedstraße 9, 64295 Darmstadt, Germania",Darmstadt,,Germania,49.858987432124,8.630439340335
Dohler Neuenkirchen GmbH,"Dorfstraße 21, 21763 Neuenkirchen, Germania",Neuenkirchen,,Germania,53.7788337,8.8945868
DOHLER OOSTERHOUT,"Reaalstraat 12, 4903 PZ Oosterhout, Paesi Bassi",Oosterhout,,Paesi Bassi,51.6278936,4.8760331
"Dohrn & Timm, Grossbeeren - Diedersdorf","Birkholzer Str. 2, 15831 Großbeeren, Germania",Großbeeren,,Germania,52.347256450712,13.35302025506
Dolcella Pont Saint Martin,"Via Cascine Dora, 11026 Pont-Saint-Martin AO, Italia",Pont-Saint-Martin,AO,Italia,45.5928880557,7.7867193142299
Dolcissimo Ossona,"Via Fratelli Cervi, 12-20, 20010 Ossona MI, Italia",Ossona,MI,Italia,45.5093633,8.8857656
Dolomites Milk Vandoies,"zona produttiva Rieper, 2, 39030 Vandoies BZ, Italia",Vandoies,BZ,Italia,46.81480670263,11.714985216134
DOLOMITI FRUIT NANNO,"Localita' Campagna, 3, 38010 Nanno TN, Italia",Nanno,TN,Italia,46.322634,11.0453068
Dolphin Perugia,"SR220, 06132 Perugia, Italia",Perugia,,Italia,43.0804413,12.3360665
DORSOGNA . SAN VITO CHIETINO,"Contrada Scalzino, 66020 Rocca San Giovanni CH, Italia",Rocca San Giovanni,CH,Italia,42.274285371513,14.438086927644
Dr Simmer Vechta,"Germania, 49377 Vechta, Schwichtelerstra? 14",Vechta,,,52.7784526,8.2323793
dsm-firmenich Leeuwarden,"Pallasweg 1, 8938 AS Leeuwarden, Paesi Bassi",Leeuwarden,,Paesi Bassi,53.200939735565,5.8515010036441
"DUKAT KIM, Mekušanska cesta 51, HR-47000 Karlovac","Ul. Gornje Mekušje 9, 47000, Karlovac, Croazia",Karlovac,,Croazia,45.4846495,15.5811441
Dulcioliva Borgo San Dalmazzzo,"Via Fratelli Rosselli, 63, 12011 Borgo San Dalmazzo CN, Italia",Borgo San Dalmazzo,CN,Italia,44.352976552464,7.5054457377601
Dutch Cocoa Amsterdam,"Ruijgoordweg 80, 1047 Amsterdam-Westpoort, Paesi Bassi",Amsterdam-Westpoort,,Paesi Bassi,52.410949,4.7581324
Dutch glycerin -Farmsum,"Oosterhorn 6, 9936 HD Farmsum, Paesi Bassi",Farmsum,,Paesi Bassi,53.315397190831,6.9623293398901
E.S.C.O. Pisa,"Via dei Tulipani, 1, 56128 Pisa PI, Italia",Pisa,PI,Italia,43.6010256,10.2943836
ECKES GRANINI 53773 Hennef,"Im Bröltal, 53773 Hennef (Sieg), Germania",Hennef (Sieg),,Germania,50.8014623,7.3363416
Eckes Granini Macon,"637-891 Rue des Frères Lumière, 71000 Mâcon, Francia",Mâcon,,Francia,46.2878755,4.815956
Eckes-Granini Bad Fallingbostel,"Pröhlsfeld 6, 29683 Bad Fallingbostel, Germania",Bad Fallingbostel,,Germania,52.859041,9.6887744
ECOFOX VASTO GLICERINA,"Unnamed Road, 66054 Zona Industriale Porto di Vasto CH, Italia",Zona Industriale Porto di Vasto,CH,Italia,42.1679228,14.7145478
ECOMOTION STERNBERG,"Brüeler Chaussee 3, 19406 Sternberg, Germania",Sternberg,,Germania,53.7102101,11.8159578
EDF MAN ESBJERG,"Vagervej 2, 6700 Esbjerg, Danimarca",Esbjerg,,Danimarca,55.4719301,8.4291848
EDMUND MERL GMBH & CO. Bruhl,"B51, 50321 Brühl, Germania",Brühl,,Germania,50.8333021,6.9272325
Egidio Galbani Guinzano,"Via Fratelli Cervi, 2, 27010 Guinzano PV, Italia",Guinzano,PV,Italia,45.2565709,9.1537909
Eigenmann & Veronelli S.P.A. ex Sintofarm,"SP18, 4, 47854 Monte Colombo RN, Italia",Monte Colombo,RN,Italia,43.9181918,12.5877906
EISBAER EIS PRODUKTIONS GMBH PLUMMENDORF,"Westring 4A, 18320 Ahrenshagen-Daskow, Germania",Ahrenshagen-Daskow,,Germania,54.2491273,12.500032
EL MOLINO SE SANTA CRUZ S.L.,"CP-113, 14820 Córdoba, Spagna",Córdoba,,Spagna,37.7366425,-4.6334223
ELAH DOUFUR NOVI LIGURE,"Strada Statale 35bis, 15067 Area Produttiva II AL, Italia",Area Produttiva II,AL,Italia,44.7449326,8.8171476
Elbmarsch Oelmuelhe Echem,"Gingweg 3, 21379 Echem, Germania",Echem,,Germania,53.3399801,10.5391439
ELLEDI S.P.A. Galiera Veneta,"Via Roma, 7, 35015 Galliera Veneta PD, Italia",Galliera Veneta,PD,Italia,45.6567238,11.815727
Emig Calvoerde,"Das Neue Land 5, 39359 Calvörde, Germania",Calvörde,,Germania,52.3900612,11.3062436
EMMELEV A/S OTTERUP,"Emmelevgyden 20, 5450 Otterup, Danimarca",Otterup,,Danimarca,55.53667,10.380469
Emmi Dessert Gattico,"Via Cascinetta, 44, 28013 Gattico NO, Italia",Gattico,NO,Italia,45.7091538,8.5385778
Emulsion Zierikzee,"Industrieweg 17, 4301 Zierikzee, Paesi Bassi",Zierikzee,,Paesi Bassi,51.6414004,3.9228154
ENAGRO -MEROCO Leopoldov,"Leopoldov,,liehovar, 920 41 Leopoldov, Slovacchia",41 Leopoldov,,Slovacchia,48.437899636422,17.754663500983
ENERVIT ERBA,"Viale Resegone, 11, 22036 Erba CO, Italy",Erba,CO,Italia,45.8077072,9.243125
ESAROM POLSKA,"Poznańska 15, Kruszwica, Polonia",Kruszwica,,Polonia,52.6705958,18.3217343
Eskigel Terni,"Via Augusto Vanzetti, 6, 05100 Terni TR, Italia",Terni,TR,Italia,42.5651516,12.613778
Eulip Parma,"Via Alfred Bernhard Nobel, 5/a, 43122 Parma PR, Italia",Parma,PR,Italia,44.8443189,10.3709945
Eurenco Bofors S.A.,"Centralvägen, 691 33 Karlskoga, Svezia",33 Karlskoga,,Svezia,59.3433142,14.5381282
Eurial Ingredients,"5425C La Bunouvière, 50860 Moyon Villages, Francia",Moyon Villages,,Francia,49.002596903268,-1.1096443560735
Eurocacao Castelgali,"Ctra. Vella, 93, 08295 Sant Vicenç de Castellet, Barcelona, Spagna",Sant Vicenç de Castellet,Barcelona,Spagna,41.6701073,1.8524208
Eurocakes Fagagna,"Via Anna Bortolotti, 59, 33034 Fagagna UD, Italia",Fagagna,UD,Italia,46.10637,13.0880618
EuroCosmetic Trenzano,"Via dei Dossi, 16, 25030 Trenzano BS, Italia",Trenzano,BS,Italia,45.4728516,9.9917688
EUROLAT LINDLAR,"Hommericher Str. 25, 51789 Lindlar, Germania",Lindlar,,Germania,51.0050947,7.2831181
Eurolysine Amiens,"42-50 Rue de Vaux, 80080 Amiens, Francia",Amiens,,Francia,49.932472108416,2.2657513687894
EUROPASTRY BENELUX B.V. OLDENZAAL,"Zandsteenweg, Deurningen, Paesi Bassi",Deurningen,,Paesi Bassi,52.2982228,6.8955078
EUROPASTRY S.A.,"Carrer de Leonardo da Vinci, 2, 08191 Rubí, Barcelona, Spagna",Rubí,Barcelona,Spagna,41.4878219,2.0445763
EUROPE CHOCOLATE COMPANY MALLE BV,"Energieweg 9-3, 2390 Malle, Belgium",Malle,,Belgio,51.2935637,4.714363
EUROVO OCCHIOBELLO,"Via Piacentina, 24, 45030 Occhiobello RO, Italia",Occhiobello,RO,Italia,44.9157302,11.6122436
Evonik Goldschmidt Essen,"Germania, 45139 Essen, Gerlingstraße",Essen,,,51.4619896,7.0216563
Extrusell Chalon sur Saone,"Rue des Frères Lumière, 71100 Chalon-sur-Saône, Francia",Chalon-sur-Saône,,Francia,46.8036088,4.8685306
F+S BERLIN,"Goltzstraße 20, 13587 Berlin, Germania",Berlin,,Germania,52.561905,13.2138989
F+S Milchwerk Coesfeld GmbH,"Dreischkamp 40, 48653 Coesfeld, Germania",Coesfeld,,Germania,51.9278005,7.1580346
F.LLI Martini Cossano Belbo,"Strada Marchesini Torricelle Località Madonna della Rovere, 12054 Cossano Belbo CN, Italia",Cossano Belbo,CN,Italia,44.6815478,8.2000522
F.LLI MARTINI GENOLA,"Via S. Maria, 14, 12040 CN, Italia",CN,,Italia,44.5947713,7.6932551
F.lli Martini San Salvatore Telesino,"Italia, 82030 San Salvatore Telesino BN, Via Corte Nocera",San Salvatore Telesino,BN,,41.236865,14.4733886
F.LLI RUATA BALDISSERO,"Località Baroli, 74, 12040 Baroli CN, Italia",Baroli,CN,Italia,44.7812033,7.8585903
FAGE,"Ermou 42-44, Metamorfosi 144 52, Greece",Metamorfosi 144 52,,Grecia,38.071755,23.772643
"FARMA MAJCICHOV a.s., Majcichov 50, SK-919 22 Majcichov","Unnamed Road, 919 22 Majcichov, Slovacchia",22 Majcichov,,Slovacchia,48.2874898,17.6197775
Farmagan Galazzano - San Marino,"Via Fosso del Canneto, 32G, 47899, San Marino",47899,,San Marino,43.980351441639,12.480963773563
Farmer House Products Vredepeel,"Vredeweg 9, 5816 AJ Vredepeel, Paesi Bassi",Vredepeel,,Paesi Bassi,51.5491461,5.8517981
FATTORIE OSELLA,"Via Giuseppe Mazzini, 23, 12030 Caramagna Piemonte CN, Italia",Caramagna Piemonte,CN,Italia,44.7782596,7.7355345
FEDIX Gmbh NEUENKIRCHEN-VORDEN,"Wolfsburger Straße 13, 49434 Neuenkirchen-Vörden, Germania",Neuenkirchen-Vörden,,Germania,52.4949978,8.0692109
FEMAR VINI Monte Porzio Catone,"Via Colle Pisano, 24-26, 00040 Monte Porzio Catone RM, Italia",Monte Porzio Catone,RM,Italia,41.8263465,12.7054907
Ferrero Alba (CN),"Italia, 12051 Alba CN, Via Vivaro, 34",Alba CN,Via Vivaro,,44.7008188,8.0209362
Ferrero Alfreton,"1 Wimsey Way, Somercotes, Alfre",Somercotes,,,53.0864726,-1.388695
Ferrero Arlon,"Rue Pietro Ferrero 24, 6700 Arrondissement di Arlon, Belgio",Arrondissement di Arlon,,Belgio,49.6774317,5.8168172
Ferrero Belsk Duzy Polonia,"728, Polonia",728,,Polonia,51.818522,20.7995461
Ferrero France,"1858-2132 Route de Duclair, 76360 Villers-Écalles, Francia",Villers-Écalles,,Francia,49.5320164,0.9376
Ferrero Genova,"Calata Canzio Stefano, Genova, GE 16126, 16126 Genova GE, Italia",Genova,GE,Italia,44.4028946,8.9160273
